Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
997016;2,750;GO
997017;2,750;GO
997018;2,750;GO
997019;2,750;GO
997020;2,750;GO
997021;2,750;GO
997022;2,750;GO
997023;2,750;GO
997024;2,750;GO
997025;2,750;GO
997026;2,750;GO
997027;2,750;GO
997028;2,750;GO
997029;2,750;GO
997030;2,750;GO
997031;2,750;GO
997032;2,750;GO
997033;2,750;GO
997034;2,750;GO
997035;2,750;GO
997036;2,750;GO
997037;2,750;GO
997038;2,750;GO
997039;2,750;GO
997040;2,750;GO
997041;2,750;GO
997042;2,750;GO
997043;2,750;GO
997044;2,750;GO
997045;2,750;GO
997046;2,750;GO
997047;2,750;GO
997048;2,500;GO
997049;2,500;GO
997050;2,500;GO
997051;2,500;GO
997052;2,500;GO
997053;2,500;GO
997054;2,500;GO
997055;2,500;GO
997056;2,500;GO
997057;2,500;GO
997058;2,500;GO
997059;2,500;GO
997060;2,500;GO
997061;2,500;GO
997062;2,500;GO
997063;2,500;GO
997064;2,500;GO
997065;2,500;GO
997066;2,500;GO
997067;2,500;GO
997068;2,500;GO
997069;2,500;GO
997070;2,500;GO
997071;2,500;GO
997072;2,500;GO
997073;2,500;GO
997074;2,500;GO
997075;2,500;GO
997076;2,500;GO
997077;2,500;GO
997078;2,500;GO
997079;2,500;GO
997080;2,500;GO
997081;2,500;GO
997082;2,500;GO
997083;2,500;GO
997084;2,500;GO
997085;2,500;GO
997086;2,500;GO
997087;2,500;GO
997088;2,500;GO
997089;2,500;GO
997090;2,500;GO
997091;2,500;GO
997092;2,500;GO
997093;2,500;GO
997094;2,500;GO
997095;2,500;GO
997096;2,500;GO
997097;2,500;GO
997098;2,500;GO
997099;2,500;GO
997100;2,500;GO
997101;2,500;GO
997102;2,500;GO
997103;2,500;GO
997104;2,500;GO
997105;2,500;GO
997106;2,500;GO
997107;2,500;GO
997108;2,500;GO
997109;2,500;GO
997110;2,500;GO
997111;2,500;GO
997112;2,500;GO
997113;2,500;GO
997114;2,500;GO
997115;2,500;GO
997116;2,500;GO
997117;2,500;GO
997118;2,500;GO
997119;2,500;GO
997120;2,500;GO
997121;2,500;GO
997122;2,500;GO
997123;2,500;GO
997124;2,500;GO
997125;2,500;GO
997126;2,500;GO
997127;2,500;GO
997128;2,500;GO
997129;2,500;GO
997130;2,500;GO
997131;2,500;GO
997132;2,500;GO
997133;2,500;GO
997134;2,500;GO
997135;2,500;GO
997136;2,500;GO
997137;2,500;GO
997138;2,500;GO
997139;2,500;GO
997140;2,500;GO
997141;2,500;GO
997142;2,500;GO
997143;2,500;GO
997144;2,500;GO
997145;2,500;GO
997146;2,500;GO
997147;2,500;GO
997148;2,500;GO
997149;2,500;GO
997150;2,500;GO
997151;2,500;GO
997152;2,500;GO
